final_train_accuracy,final_test_accuracy,max_test_accuracy,train_accuracies,test_accuracies,avg_epoch_time,total_time,conv_filters,filter_sizes,fc_nodes,dropout_rate,pool_size,activation_fn,fc_dropout,epochs,batch_size,learning_rate,experiment_type,dimension_value
85.36,86.27,86.27,"[65.16666666666667, 79.60666666666667, 82.79333333333334, 84.38666666666667, 85.36]","[77.83, 81.93, 84.39, 85.22, 86.27]",8.186427640914918,44.555349826812744,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,baseline,
83.18,84.39,84.39,"[63.42333333333333, 77.50666666666666, 80.555, 82.20666666666666, 83.18]","[73.14, 80.62, 82.18, 82.27, 84.39]",20.75772876739502,106.9854748249054,"[5, 10]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,conv_filters,5.0
85.38,85.99,85.99,"[65.71166666666667, 78.82833333333333, 82.005, 84.185, 85.38]","[75.99, 81.59, 83.65, 83.96, 85.99]",7.688505840301514,41.78854203224182,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,conv_filters,10.0
86.405,86.66,86.66,"[69.465, 81.05, 84.035, 85.53333333333333, 86.405]","[79.56, 81.96, 84.74, 85.95, 86.66]",8.730133295059204,47.40698838233948,"[15, 30]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,conv_filters,15.0
86.95833333333333,87.49,87.49,"[69.61333333333333, 81.18666666666667, 84.14166666666667, 85.83, 86.95833333333333]","[77.42, 82.94, 85.27, 86.53, 87.49]",10.37876992225647,56.10206961631775,"[20, 40]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,conv_filters,20.0
86.26666666666667,85.74,85.99,"[67.36166666666666, 80.57166666666667, 83.515, 85.26333333333334, 86.26666666666667]","[77.53, 81.0, 84.78, 85.99, 85.74]",8.150760459899903,44.30483937263489,"[10, 20]","[5, 5]",50,0.1,2,ReLU(),False,5,64,0.01,dropout_rate,0.1
85.65666666666667,85.91,85.91,"[63.22, 78.815, 82.35666666666667, 84.50333333333333, 85.65666666666667]","[76.21, 79.78, 84.22, 85.66, 85.91]",8.188760757446289,44.5965678691864,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,dropout_rate,0.25
83.52833333333334,85.92,85.92,"[64.40333333333334, 77.59333333333333, 80.44, 82.155, 83.52833333333334]","[76.72, 79.81, 83.18, 84.21, 85.92]",20.482827758789064,105.83400845527649,"[10, 20]","[5, 5]",50,0.5,2,ReLU(),False,5,64,0.01,dropout_rate,0.5
87.26666666666667,87.01,87.07,"[72.575, 82.80833333333334, 85.27666666666667, 86.56666666666666, 87.26666666666667]","[81.74, 85.12, 86.54, 87.07, 87.01]",9.652412796020508,51.52452611923218,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,32,0.01,batch_size,32.0
85.51,86.3,86.3,"[67.49166666666666, 79.95, 83.05666666666667, 84.57666666666667, 85.51]","[77.7, 82.06, 84.6, 85.62, 86.3]",7.78903112411499,42.360833168029785,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,64,0.01,batch_size,64.0
82.975,83.58,83.58,"[58.02, 76.49333333333334, 79.39666666666666, 81.56666666666666, 82.975]","[74.78, 78.47, 80.11, 82.49, 83.58]",6.7887920379638675,37.21780490875244,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,128,0.01,batch_size,128.0
79.94333333333333,78.85,78.85,"[52.27166666666667, 71.81166666666667, 75.79, 78.30333333333333, 79.94333333333333]","[68.06, 71.92, 76.77, 77.89, 78.85]",5.986879110336304,33.19051456451416,"[10, 20]","[5, 5]",50,0.25,2,ReLU(),False,5,256,0.01,batch_size,256.0
